trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
58,False,"{'a': 0.5, 'e': 0.3134861808826044}",20,15,8.896004043603988,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.3072787386011303}",20,2,16.88405009138273,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.3011942119122012}",20,8,4.575941280985256,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.2952301669240133}",20,8,13.914262737971058,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.2893842179390498}",20,1,25.626857869533087,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.2836540264997695}",25,11,18.640098844505694,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.27803730045319325}",25,13,-3.9724107230339234,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.2725317930340117}",20,13,1.8718712124784507,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.2671353019658495}",20,0,5.292970439942009,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.26184566858032515}",25,7,-9.580565414492522,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.25666077695355505}",20,0,17.616545349112492,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.2515785530597557}",20,10,-33.675969924793066,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.24659696394160566}",20,7,-10.512470378012946,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
